常見問答範例,回覆訊息
"請問營業時間是什麼時候？","本營區全年無休。客服服務時間為週一至週日 09:00～18:00，誠摯期待您的光臨。"
"請問如何訂位？","請至我們的官方網站點擊「線上預訂」，選擇您想要的日期與營位。系統支援 LINE 快速登入，方便又快速！"
"有提供裝備租借嗎？","有的！我們提供帳篷、天幕、桌椅等各式露營裝備租借服務，可在預訂時一併加購。此外，如果您想購買自己的專屬裝備，強力推薦您前往車泊地圖的裝備推薦網頁 (https://car-camping-map.vercel.app/equipment) 逛逛，裡面精選了許多露友愛用的高CP值好物喔！"
"營位費用怎麼計算？","費用會依據「平日」與「假日」有所不同，詳細價格請至官方網站的訂位系統查看，系統會自動幫您計算總價喔！"
"請問匯款帳號是什麼？","完成訂單後，系統會自動產生一組「台新銀行 (812)」的專屬虛擬帳號（帳號後五碼為您的手機後五碼）。請於 10 日內完成匯款，以免訂單被自動取消喔！"
"我忘了匯款帳號怎麼辦？","請您放心，訂單成立時系統已發送一封確認信至您的 Email，裡面有完整的匯款資訊。您也可以登入官網的「我的訂單」進行查詢。"
"匯款後需要通知營主嗎？","不需要喔！我們使用專屬虛擬帳號，您匯款成功後系統會自動對帳，並發送「收款成功」通知信給您。"
"可以帶寵物嗎？","歡迎毛小孩！但請務必繫上牽繩，並自行清理寵物排泄物，共同維護營區整潔與其他露友的權益。"
"請問有提供餐點或食材嗎？","有的！我們有提供食材代訂與特色餐飲服務。在線上預訂時即可加購，請注意餐點分為「單次計費」與「按晚計費」，若只需單日餐飲，也可在備註欄說明或現場加購。"
"入住與退房時間是幾點？","一般營位入住時間為下午 14:00 後，退房時間為隔日中午 12:00 前。若有提早或延後需求請事先與我們聯繫。"
"可以取消訂單嗎？退款規定是什麼？","可以的。退費標準依據觀光局法規辦理：入住前 14 天取消全額退費，前 10~13 天退 70%，前 7~9 天退 50%，前 4~6 天退 40%，前 2~3 天退 30%，前 1 天退 20%，當天取消不予退費。"
"除了不遠山莊，還有推薦其他的露營區或車宿地點嗎？","如果您喜歡探索不同的戶外生活，強力推薦您使用我們的姊妹服務「車泊地圖 (Car Camping Map)」！網址：https://car-camping-map.com 。裡面收錄了全台優質的車宿泊點、免費野營地，還可以記錄您的個人足跡！"
"請問車泊地圖是什麼？","「車泊地圖」是專為露營車與車宿愛好者打造的免費資訊平台。提供全台灣各地合法營地、收費/免費泊點、溫泉澡點等資訊，並能收藏您的最愛營地。"
"如果我想找免費的野營地點，要去哪裡看？","推薦您前往「車泊地圖」網站，在過濾器中選擇「免費泊點」或「野營點」，就能找到許多車友推薦的秘境！"
"請問營區有提供冰箱嗎？","有的，營區本部設有公共冰箱（冷藏與冷凍），供露友免費存放食材。請記得在您的物品上標示姓名，以免拿錯。"
"請問有提供飲水機嗎？","有的，營區內設有24小時溫熱飲水機，建議您自備環保杯或水壺來盛裝。"
"可以升火或烤肉嗎？","可以烤肉！但為了保護草皮，請務必使用「高腳烤肉架」或「焚火台」，且需距離地面至少 30 公分以上，嚴禁直接在地面生火。"
"車子可以停在帳篷旁邊嗎？","若您預訂的是「車帳同區」的營位，車子可以直接停在帳篷旁；若為集中停車區的營位，請先在下貨區卸下裝備後，將愛車移至專屬停車場。"
"晚上有門禁或管制時間嗎？","為了維護露營品質，營區於晚間 22:00 至隔日上午 07:00 為「靜音時段」，請降低音量、車輛請勿進出，讓大家都能享受寧靜夜晚。"
"請問有提供帳篷搭設教學嗎？","若您是向我們租借裝備，營主與工作人員都很樂意協助指導您如何搭設帳篷，新手也能安心露營！"
"浴室有提供沐浴乳和洗髮精嗎？","為響應環保，我們不主動提供一次性盥洗用品。浴室內備有沐浴乳與洗髮精，但毛巾、牙刷、牙膏等個人用品請自行攜帶。"
"浴室熱水是24小時供應嗎？","是的，我們的衛浴設備提供 24 小時熱水。但尖峰時段（晚上8點至10點）水壓可能略小，建議避開尖峰時段使用。"
"請問有提供吹風機嗎？","衛浴區有提供公用吹風機供露友免費使用。若您習慣使用自己的高功率吹風機，請在指定區域使用，避免營區跳電。"
